ANO;CLASE_ACCIDENTE;DIRECCION;DIRECCION ENCASILLADA;DISENO;EXPEDIENTE;FECHA_ACCIDENTE;FECHA_ACCIDENTES;GRAVEDAD_ACCIDENTE;MES;NRO_RADICADO;NUMCOMUNA;BARRIO;COMUNA;LOCATION;X;Y
2019;Otro;CL 48 DD CR 99 B;CL  048 DD  099 B  000 00000;Lote o Predio;A000927695;16/02/2019 20:45;2019-02-17T01:45:00.000Z;Con heridos;2;1660397;13;Juan XXIII La Quiebra;San Javier;[-75.613909782, 6.26263507303];829962.39;1184530.24
2019;Volcamiento;CR 32 CL 102;CR  032   102  000 00000;Tramo de via;A000927621;16/02/2019 21:40;2019-02-17T02:40:00.000Z;Con heridos;2;1660393;1;La Esperanza No. 2;Popular;[-75.5434285138, 6.28984334534];837772.87;1187517.8
2019;Volcamiento;CL 43 Sur CR 72;CL S 043   072  000 00000;Tramo de via;A000927693;16/02/2019 22:10;2019-02-17T03:10:00.000Z;Con heridos;2;1660354;80;Cabecera San Antonio de Prado;Corregimiento de San Antonio de Prado;[-75.6512228585, 6.18303149216];825805.62;1175736.06
2019;Atropello;CR 51 CL 54;CR  051   054  000 00000;Tramo de via;A000927690;16/02/2019 23:00;2019-02-17T04:00:00.000Z;Con heridos;2;1660375;10;Villa Nueva;La Candelaria;[-75.56731793, 6.25370024552];835117.19;1183526.97
2019;Choque;Tramo 8 Kilometro 9;0;Tramo de via;A000927696;16/02/2019 23:20;2019-02-17T04:20:00.000Z;Con heridos;2;1660407;Sin Inf;;;[-75.5401832599, 6.1530139537];838090.2;1172380.35
2019;Atropello;CL 72 CR 41;CL  072   041  000 00000;Tramo de via;A000927698;17/02/2019 1:40;2019-02-17T06:40:00.000Z;Con heridos;2;1660408;3;El Pomar;Manrique;[-75.5516226394, 6.26792160796];836859.04;1185095.29
2019;Choque;CL 58 CR 58;CL  058   058  000 00000;Tramo de via;A000927694;17/02/2019 1:50;2019-02-17T06:50:00.000Z;Con heridos;2;1660420;7;Olaya Herrera;Robledo;[-75.6101703874, 6.27394222569];830379.99;1185779.9
2019;Choque;CR 64 A CL 75;CR  064 A   075  000 00000;Tramo de via;A000927704;17/02/2019 7:30;2019-02-17T12:30:00.000Z;Con heridos;2;1660446;5;Caribe;Castilla;[-75.5713858351, 6.27282795733];834672.9;1185644.24
2019;Choque;CR 76 CL 101 B;CR  076   101 B  000 00000;Interseccion;A000927707;17/02/2019 9:50;2019-02-17T14:50:00.000Z;Con heridos;2;1660352;6;Pedregal;Doce de Octubre;[-75.5767476374, 6.30015000176];834088.04;1188668.43
2019;Caida Ocupante;CL 55 Sur CR 55 D;CL S 055   055 D  000 00000;Tramo de via;A000927713;17/02/2019 11:45;2019-02-17T16:45:00.000Z;Con heridos;2;1660604;80;Cabecera San Antonio de Prado;Corregimiento de San Antonio de Prado;[-75.6378888555, 6.17507704841];827279.34;1174851.73
